customer_id,name,city,signup_date
C1000,Customer_0,Delhi,2025-02-23
C1001,Customer_1,Delhi,2024-09-20
C1002,Customer_2,Hyderabad,2024-02-19
C1003,Customer_3,,2025-07-16
C1004,Customer_4,Bangalore,2025-10-12
C1005,Customer_5,Pune,2024-08-11
C1006,Customer_6,Delhi,2025-12-04
C1007,Customer_7,,2025-01-04
C1008,Customer_8,Mumbai,2025-10-18
C1009,Customer_9,Hyderabad,2025-06-06
C1010,Customer_10,Mumbai,2025-04-13
C1011,Customer_11,Delhi,2024-01-28
C1012,Customer_12,,2025-01-20
C1013,Customer_13,Hyderabad,2026-01-24
C1014,Customer_14,Mumbai,2024-09-13
C1015,Customer_15,,2025-08-09
C1016,,,2024-09-20
C1017,Customer_17,Bangalore,2025-02-11
C1018,Customer_18,Pune,2024-10-30
C1019,Customer_19,Pune,2025-02-19
C1020,Customer_20,Hyderabad,2024-12-22
C1021,Customer_21,,2025-09-05
C1022,Customer_22,Mumbai,2024-12-05
C1023,Customer_23,Pune,2025-06-02
C1024,Customer_24,Hyderabad,2024-08-05
C1025,Customer_25,Mumbai,2024-05-07
C1026,Customer_26,Bangalore,2025-05-07
C1027,Customer_27,Delhi,2024-11-27
C1028,Customer_28,Pune,2025-11-04
C1029,Customer_29,Delhi,2025-03-11
C1030,Customer_30,Hyderabad,2024-06-08
C1031,Customer_31,Mumbai,2025-01-04
C1032,Customer_32,Mumbai,2025-05-01
C1033,Customer_33,Hyderabad,2025-07-29
C1034,Customer_34,Hyderabad,2025-10-02
C1035,Customer_35,Pune,2025-01-07
C1036,Customer_36,Mumbai,2024-09-13
C1037,Customer_37,Bangalore,2025-07-26
C1038,Customer_38,Mumbai,2025-12-10
C1039,,,2025-11-15
C1040,Customer_40,Bangalore,2024-11-12
C1041,Customer_41,Hyderabad,2025-07-04
C1042,Customer_42,Hyderabad,2025-04-14
C1043,Customer_43,Hyderabad,2024-08-04
C1044,Customer_44,Mumbai,2024-05-17
C1045,Customer_45,Mumbai,2024-03-01
C1046,Customer_46,Delhi,2024-02-05
C1047,Customer_47,Bangalore,2024-10-28
C1048,Customer_48,Delhi,2024-08-24
C1049,Customer_49,Pune,2025-07-30
