order_id,product_id,quantity,item_price
O908489,P500,,99.0
O906688,P501,,
O908732,P502,,499.0
O901941,P503,3.0,799.0
O903117,P504,3.0,199.0
O908149,P505,2.0,799.0
O900596,P506,2.0,
O902337,P507,3.0,199.0
O908546,P508,3.0,199.0
O903329,P509,3.0,199.0
O908992,P510,3.0,
O904972,P511,1.0,199.0
O908925,P512,,99.0
O900077,P513,,499.0
O906053,P514,1.0,
O901085,P515,,99.0
O904394,P516,3.0,199.0
O905953,P517,,499.0
O909146,P518,1.0,499.0
O909576,P519,3.0,499.0
O902097,P520,2.0,99.0
O905241,P521,,199.0
O907792,P522,2.0,99.0
O906091,P523,3.0,799.0
O909491,P524,,499.0
O907302,P525,,499.0
O908922,P526,1.0,
O900483,P527,,99.0
O902065,P528,1.0,499.0
O904068,P529,3.0,799.0
O900730,P530,1.0,99.0
O902892,P531,1.0,799.0
O908038,P532,3.0,499.0
O907573,P533,3.0,
O906868,P534,3.0,499.0
O907367,P535,3.0,199.0
O906673,P536,3.0,799.0
O905886,P537,2.0,499.0
O909233,P538,1.0,499.0
O904549,P539,2.0,
O906133,P540,2.0,199.0
O905859,P541,2.0,
O906357,P542,,199.0
O903722,P543,,
O907324,P544,2.0,499.0
O902827,P545,3.0,99.0
O903523,P546,2.0,799.0
O903171,P547,3.0,799.0
O909428,P548,,
O904254,P549,1.0,199.0
O908656,P500,1.0,99.0
O906668,P501,,199.0
O907285,P502,3.0,199.0
O900458,P503,2.0,99.0
O901914,P504,1.0,799.0
O909588,P505,,499.0
O903758,P506,3.0,99.0
O900069,P507,,99.0
O905614,P508,3.0,199.0
O904768,P509,,
O908049,P510,1.0,799.0
O907763,P511,1.0,99.0
O908990,P512,,
O906700,P513,1.0,199.0
O904034,P514,,99.0
O903738,P515,2.0,799.0
O901293,P516,1.0,
O904200,P517,,99.0
O904919,P518,3.0,799.0
O905728,P519,2.0,
O904078,P520,,799.0
O909229,P521,1.0,499.0
O901469,P522,2.0,199.0
O903231,P523,,99.0
O904540,P524,,
O905616,P525,2.0,799.0
O907222,P526,,199.0
O905128,P527,1.0,199.0
O900685,P528,1.0,799.0
O900570,P529,2.0,799.0
O905524,P530,3.0,99.0
O909781,P531,1.0,499.0
O903647,P532,3.0,99.0
O904663,P533,1.0,499.0
O909627,P534,1.0,499.0
O906546,P535,,799.0
O901590,P536,2.0,199.0
O901332,P537,,
O901974,P538,3.0,99.0
O901204,P539,1.0,499.0
O903365,P540,,199.0
O907724,P541,1.0,99.0
O905305,P542,,499.0
O900717,P543,2.0,499.0
O907499,P544,,199.0
O905990,P545,2.0,
O908570,P546,3.0,799.0
O904886,P547,1.0,
O900336,P548,3.0,499.0
O906372,P549,3.0,799.0
O902016,P500,1.0,99.0
O900182,P501,1.0,
O904203,P502,3.0,199.0
O904895,P503,,499.0
O903607,P504,,499.0
O901834,P505,2.0,
O905783,P506,3.0,799.0
O909741,P507,,799.0
O903299,P508,3.0,799.0
O907294,P509,1.0,499.0
O904546,P510,2.0,499.0
O902380,P511,2.0,199.0
O900628,P512,,799.0
O909248,P513,3.0,799.0
O904009,P514,2.0,
O904987,P515,2.0,199.0
O902935,P516,1.0,
O901131,P517,,799.0
O905152,P518,1.0,199.0
O900691,P519,2.0,99.0
O900012,P520,,499.0
O902862,P521,2.0,799.0
O907635,P522,1.0,199.0
O900047,P523,2.0,
O900510,P524,2.0,799.0
O903329,P525,3.0,799.0
O907777,P526,,99.0
O904587,P527,3.0,99.0
O900509,P528,2.0,99.0
O906094,P529,3.0,99.0
O909871,P530,3.0,499.0
O900649,P531,2.0,799.0
O901795,P532,1.0,199.0
O909530,P533,,799.0
O900716,P534,1.0,199.0
O909756,P535,,499.0
O901899,P536,1.0,799.0
O905303,P537,,
O905937,P538,3.0,199.0
O909567,P539,1.0,199.0
O909886,P540,,499.0
O905061,P541,3.0,199.0
O903482,P542,,199.0
O909993,P543,2.0,799.0
O900590,P544,3.0,799.0
O909501,P545,,199.0
O904671,P546,,
O904844,P547,,199.0
O904113,P548,3.0,499.0
O904169,P549,3.0,
O902238,P500,3.0,799.0
O909358,P501,2.0,
O900094,P502,1.0,
O908446,P503,3.0,99.0
O904098,P504,,499.0
O906128,P505,2.0,199.0
O906601,P506,2.0,
O902849,P507,1.0,499.0
O904644,P508,,499.0
O904797,P509,,799.0
O901445,P510,1.0,
O902739,P511,1.0,
O904961,P512,2.0,
O900674,P513,,
O909857,P514,1.0,499.0
O901219,P515,3.0,99.0
O908110,P516,3.0,199.0
O904657,P517,,199.0
O903607,P518,2.0,
O904652,P519,2.0,499.0
O908863,P520,2.0,
O904135,P521,2.0,799.0
O904912,P522,1.0,
O904339,P523,1.0,
O902759,P524,1.0,199.0
O901669,P525,,499.0
O903803,P526,2.0,99.0
O905045,P527,2.0,199.0
O904889,P528,,499.0
O902379,P529,2.0,799.0
O903170,P530,,499.0
O903255,P531,3.0,799.0
O905606,P532,3.0,199.0
O902079,P533,2.0,199.0
O902138,P534,2.0,799.0
O902859,P535,3.0,
O901818,P536,1.0,99.0
O905620,P537,1.0,
O905411,P538,1.0,199.0
O906931,P539,2.0,99.0
O902186,P540,3.0,
O907491,P541,1.0,
O908892,P542,,99.0
O909082,P543,,199.0
O902028,P544,,799.0
O902268,P545,,799.0
O900195,P546,3.0,199.0
O907994,P547,,
O906803,P548,3.0,499.0
O902723,P549,,
O908772,P500,3.0,799.0
O900871,P501,,
O905018,P502,1.0,
O903188,P503,,
O902457,P504,2.0,199.0
O905426,P505,1.0,99.0
O902723,P506,2.0,499.0
O909260,P507,2.0,99.0
O900090,P508,1.0,199.0
O901902,P509,1.0,199.0
O903840,P510,,499.0
O905235,P511,2.0,199.0
O905289,P512,2.0,199.0
O900797,P513,,499.0
O904571,P514,3.0,499.0
O902565,P515,2.0,499.0
O903304,P516,1.0,199.0
O907188,P517,3.0,199.0
O904126,P518,1.0,199.0
O909808,P519,2.0,199.0
O905613,P520,1.0,99.0
O909151,P521,2.0,99.0
O905196,P522,1.0,99.0
O909466,P523,2.0,199.0
O901322,P524,,99.0
O908246,P525,2.0,499.0
O907085,P526,2.0,199.0
O900099,P527,2.0,199.0
O908347,P528,1.0,99.0
O902458,P529,2.0,499.0
O901666,P530,3.0,
O903150,P531,,99.0
O905505,P532,,799.0
O905597,P533,,199.0
O907863,P534,3.0,799.0
O907976,P535,2.0,
O909894,P536,1.0,799.0
O905127,P537,2.0,
O909636,P538,1.0,99.0
O900522,P539,2.0,499.0
O908508,P540,2.0,99.0
O906631,P541,2.0,499.0
O902303,P542,1.0,
O904364,P543,3.0,
O905272,P544,2.0,99.0
O904499,P545,3.0,499.0
O905059,P546,2.0,99.0
O909698,P547,3.0,499.0
O906950,P548,3.0,
O900815,P549,2.0,199.0
O908001,P500,,499.0
O901180,P501,,499.0
O909065,P502,3.0,499.0
O900082,P503,1.0,499.0
O908031,P504,2.0,199.0
O901508,P505,,199.0
O906035,P506,1.0,799.0
O906219,P507,,99.0
O902748,P508,,499.0
O906182,P509,3.0,
O907645,P510,3.0,
O909082,P511,,499.0
O900613,P512,1.0,
O905824,P513,3.0,499.0
O901045,P514,1.0,
O901654,P515,1.0,799.0
O903802,P516,2.0,
O907013,P517,,99.0
O909822,P518,1.0,499.0
O902914,P519,,799.0
O905925,P520,2.0,
O901653,P521,3.0,799.0
O908143,P522,1.0,799.0
O904613,P523,3.0,799.0
O901284,P524,1.0,
O909332,P525,,199.0
O902138,P526,,
O909902,P527,1.0,499.0
O900333,P528,2.0,199.0
O909943,P529,3.0,799.0
O900206,P530,,499.0
O902656,P531,,99.0
O903456,P532,3.0,799.0
O908684,P533,3.0,99.0
O900118,P534,2.0,499.0
O903021,P535,1.0,199.0
O902421,P536,1.0,
O908658,P537,1.0,499.0
O900576,P538,2.0,
O907497,P539,1.0,199.0
O908644,P540,2.0,
O901302,P541,,199.0
O908613,P542,,799.0
O904082,P543,2.0,99.0
O904782,P544,2.0,199.0
O900692,P545,,
O901206,P546,1.0,499.0
O900998,P547,,199.0
O900734,P548,3.0,199.0
O903768,P549,,799.0
O906394,P500,3.0,199.0
O909020,P501,1.0,
O902258,P502,,499.0
O909537,P503,1.0,499.0
O903144,P504,,199.0
O905832,P505,1.0,499.0
O906914,P506,1.0,99.0
O908905,P507,3.0,99.0
O904637,P508,2.0,199.0
O903502,P509,2.0,199.0
O902927,P510,,499.0
O909036,P511,,799.0
O904826,P512,1.0,99.0
O907221,P513,2.0,199.0
O900942,P514,2.0,499.0
O907576,P515,,99.0
O908182,P516,2.0,
O903225,P517,1.0,99.0
O901181,P518,1.0,99.0
O902392,P519,3.0,499.0
O906332,P520,2.0,
O905667,P521,,
O909881,P522,2.0,99.0
O906837,P523,3.0,199.0
O901801,P524,1.0,799.0
O902623,P525,1.0,
O902598,P526,1.0,799.0
O906302,P527,3.0,
O907931,P528,,199.0
O909192,P529,3.0,799.0
O903869,P530,1.0,199.0
O902357,P531,,99.0
O900670,P532,,99.0
O909378,P533,2.0,199.0
O900481,P534,1.0,99.0
O907324,P535,2.0,99.0
O901749,P536,3.0,499.0
O905206,P537,3.0,499.0
O909077,P538,3.0,
O906477,P539,2.0,
O909138,P540,2.0,
O900189,P541,1.0,799.0
O908621,P542,3.0,
O907561,P543,,499.0
O902342,P544,2.0,199.0
O901121,P545,,499.0
O902296,P546,1.0,99.0
O900563,P547,,799.0
O908672,P548,2.0,199.0
O908643,P549,1.0,99.0
O903628,P500,3.0,99.0
O908997,P501,1.0,99.0
