order_id,customer_id,order_date,status
O900000,C7245,2025-03-16,PLACED
O900001,C1759,2025-03-06,SHIPPED
O900002,C5969,2025-04-22,DELIVERED
O900003,C10077,2026-01-28,
O900004,C4096,2025-07-31,PLACED
O900005,C2987,2025-09-02,PLACED
O900006,C9802,2025-10-23,SHIPPED
O900007,C3708,2026-01-30,
O900008,C8605,2025-06-17,
O900009,C3891,2026-01-09,
O900010,C9849,2025-02-26,SHIPPED
O900011,C10454,2025-07-23,SHIPPED
O900012,C5379,2025-08-18,PLACED
O900013,C8295,2025-04-26,PLACED
O900014,C9820,2026-01-22,
O900015,C8469,2025-02-08,SHIPPED
O900016,C1460,2025-09-01,PLACED
O900017,C1004,2025-02-11,SHIPPED
O900018,C5477,2025-06-13,DELIVERED
O900019,C1170,2026-02-03,DELIVERED
O900020,C3232,2025-07-16,SHIPPED
O900021,C9058,2025-02-24,SHIPPED
O900022,C7986,2025-01-22,
O900023,C3549,2025-07-08,
O900024,C2786,2025-01-30,DELIVERED
O900025,C9449,2025-06-27,SHIPPED
O900026,C1565,2025-03-12,
O900027,C10655,2025-06-16,DELIVERED
O900028,C1627,2025-05-23,
O900029,C8253,2025-01-19,SHIPPED
O900030,C2807,2025-11-13,
O900031,C7750,2026-01-23,
O900032,C8530,2025-02-15,DELIVERED
O900033,C2785,2025-12-02,
O900034,C2818,2025-07-18,DELIVERED
O900035,C10638,2025-11-21,DELIVERED
O900036,C9555,2025-10-20,
O900037,C7267,2025-08-24,
O900038,C1153,2025-01-28,SHIPPED
O900039,C9552,2025-12-10,PLACED
O900040,C5416,2025-05-23,DELIVERED
O900041,C6620,2025-08-27,SHIPPED
O900042,C1232,2025-06-07,SHIPPED
O900043,C7348,2025-01-02,
O900044,C5263,2025-07-03,SHIPPED
O900045,C1728,2025-09-29,
O900046,C9873,2025-05-15,DELIVERED
O900047,C5541,2026-01-28,DELIVERED
O900048,C8809,2025-12-11,SHIPPED
O900049,C8385,2025-07-20,SHIPPED
O900050,C8975,2025-03-21,DELIVERED
O900051,C7717,2025-06-21,PLACED
O900052,C9704,2025-09-09,
O900053,C7510,2025-12-06,
O900054,C7286,2025-10-06,DELIVERED
O900055,C1179,2025-12-05,DELIVERED
O900056,C3574,2026-01-17,
O900057,C5352,2025-01-21,DELIVERED
O900058,C8989,2025-11-11,DELIVERED
O900059,C8934,2026-01-16,
O900060,C3145,2025-12-14,PLACED
O900061,C4960,2025-10-24,
O900062,C3189,2025-03-29,PLACED
O900063,C5275,2025-09-16,PLACED
O900064,C1049,2025-01-15,DELIVERED
O900065,C9825,2025-08-01,DELIVERED
O900066,C2507,2025-11-27,SHIPPED
O900067,C3127,2025-08-17,
O900068,C9522,2025-09-02,PLACED
O900069,C10134,2025-11-14,SHIPPED
O900070,C6503,2025-10-05,PLACED
O900071,C6827,2025-02-22,SHIPPED
O900072,C3061,2025-03-15,PLACED
O900073,C2728,2025-04-12,PLACED
O900074,C10579,2025-03-31,SHIPPED
O900075,C8832,2025-03-22,DELIVERED
O900076,C6810,2025-12-14,DELIVERED
O900077,C3547,2026-01-02,DELIVERED
O900078,C9197,2025-02-04,SHIPPED
O900079,C6123,2025-02-10,SHIPPED
O900080,C4379,2025-01-21,PLACED
O900081,C1457,2025-09-23,
O900082,C8873,2025-10-28,SHIPPED
O900083,C4375,2025-02-18,
O900084,C10538,2025-07-02,PLACED
O900085,C7439,2025-05-05,
O900086,C6948,2025-07-19,
O900087,C5792,2025-04-22,SHIPPED
O900088,C8375,2026-01-09,DELIVERED
O900089,C5165,2025-10-21,DELIVERED
O900090,C3990,2026-02-01,PLACED
O900091,C5744,2025-11-10,PLACED
O900092,C2651,2025-05-14,DELIVERED
O900093,C9037,2025-04-18,DELIVERED
O900094,C3608,2025-04-29,
O900095,C7853,2025-04-21,DELIVERED
O900096,C6596,2025-12-11,SHIPPED
O900097,C9297,2025-10-27,
O900098,C5608,2025-08-22,PLACED
O900099,C7231,2026-02-05,SHIPPED
O900100,C6573,2025-07-05,
O900101,C8151,2025-08-22,SHIPPED
O900102,C6360,2025-07-30,SHIPPED
O900103,C1653,2025-05-06,PLACED
O900104,C2879,2025-07-30,PLACED
O900105,C10011,2025-12-11,DELIVERED
O900106,C5615,2026-01-02,SHIPPED
O900107,C2937,2025-06-17,DELIVERED
O900108,C9879,2025-07-29,PLACED
O900109,C1253,2025-06-25,SHIPPED
O900110,C10288,2026-01-07,
O900111,C4735,2025-05-28,PLACED
O900112,C10861,2025-06-30,DELIVERED
O900113,C10898,2025-11-17,
O900114,C4643,2025-07-03,
O900115,C2154,2025-04-20,DELIVERED
O900116,C2543,2025-01-20,
O900117,C3627,2025-10-13,PLACED
O900118,C4886,2025-06-13,DELIVERED
O900119,C9339,2025-03-17,SHIPPED
O900120,C3962,2025-10-21,
O900121,C6249,2025-04-29,DELIVERED
O900122,C2061,2025-11-25,SHIPPED
O900123,C1901,2025-09-14,PLACED
O900124,C2083,2025-05-15,SHIPPED
O900125,C6222,2025-04-18,SHIPPED
O900126,C1233,2025-10-02,PLACED
O900127,C10488,2025-01-10,
O900128,C5982,2025-04-21,DELIVERED
O900129,C8739,2025-11-24,PLACED
O900130,C4024,2025-07-28,PLACED
O900131,C10491,2026-02-03,DELIVERED
O900132,C1805,2025-05-13,SHIPPED
O900133,C9132,2025-04-07,PLACED
O900134,C9188,2025-09-04,SHIPPED
O900135,C1724,2025-01-30,SHIPPED
O900136,C9260,2025-04-11,DELIVERED
O900137,C10873,2025-10-29,DELIVERED
O900138,C10816,2025-02-20,
O900139,C7097,2026-02-01,DELIVERED
O900140,C7282,2025-11-29,SHIPPED
O900141,C7406,2025-02-28,
O900142,C9656,2025-04-10,DELIVERED
O900143,C2790,2025-02-12,DELIVERED
O900144,C4097,2026-01-14,PLACED
O900145,C2862,2025-01-18,SHIPPED
O900146,C6096,2025-04-14,DELIVERED
O900147,C4355,2025-01-31,SHIPPED
O900148,C6496,2025-08-17,DELIVERED
O900149,C1631,2025-01-16,
O900150,C6672,2025-09-17,PLACED
O900151,C9423,2025-01-25,PLACED
O900152,C2319,2025-05-08,
O900153,C5033,2025-03-24,
O900154,C10959,2025-03-29,
O900155,C6766,2025-06-23,
O900156,C4538,2026-01-13,
O900157,C5466,2025-08-26,
O900158,C8001,2025-02-27,DELIVERED
O900159,C7473,2025-03-08,
O900160,C7932,2025-05-26,SHIPPED
O900161,C4419,2025-09-26,
O900162,C2104,2025-02-26,SHIPPED
O900163,C10228,2025-10-15,SHIPPED
O900164,C7363,2026-02-04,PLACED
O900165,C3849,2025-08-24,DELIVERED
O900166,C7174,2025-12-12,PLACED
O900167,C6532,2025-02-12,DELIVERED
O900168,C3269,2025-07-01,SHIPPED
O900169,C3386,2025-12-17,SHIPPED
O900170,C6618,2025-01-05,SHIPPED
O900171,C3258,2025-03-19,DELIVERED
O900172,C9862,2025-03-05,PLACED
O900173,C5356,2025-07-24,PLACED
O900174,C10568,2025-08-20,PLACED
O900175,C1570,2025-04-09,
O900176,C10540,2025-07-15,PLACED
O900177,C8234,2025-01-17,PLACED
O900178,C9947,2025-08-09,DELIVERED
O900179,C10604,2025-06-21,DELIVERED
O900180,C5070,2026-01-30,DELIVERED
O900181,C5269,2025-06-04,
O900182,C7151,2026-01-06,PLACED
O900183,C4200,2025-08-18,SHIPPED
O900184,C4909,2025-08-29,PLACED
O900185,C7941,2025-04-16,PLACED
O900186,C6889,2025-06-28,SHIPPED
O900187,C7167,2025-12-18,PLACED
O900188,C10686,2025-09-11,DELIVERED
O900189,C7860,2025-12-15,
O900190,C7318,2025-03-01,PLACED
O900191,C3656,2025-05-13,DELIVERED
O900192,C7869,2025-03-15,DELIVERED
O900193,C10990,2025-05-25,DELIVERED
O900194,C9953,2025-03-14,PLACED
O900195,C1387,2025-09-11,SHIPPED
O900196,C1159,2025-08-24,SHIPPED
O900197,C4129,2025-01-21,DELIVERED
O900198,C8522,2025-03-09,PLACED
O900199,C9188,2025-10-23,
O900200,C2507,2025-08-14,SHIPPED
O900201,C4083,2025-07-14,
O900202,C8445,2025-06-22,DELIVERED
O900203,C7521,2025-06-22,
O900204,C10332,2026-01-07,SHIPPED
O900205,C9417,2025-10-13,
O900206,C8891,2025-08-16,PLACED
O900207,C7006,2025-06-09,SHIPPED
O900208,C5159,2025-09-04,PLACED
O900209,C1838,2025-04-27,DELIVERED
O900210,C1207,2025-10-16,
O900211,C7949,2025-08-10,PLACED
O900212,C10080,2025-03-22,PLACED
O900213,C2456,2025-06-29,
O900214,C4723,2025-05-29,SHIPPED
O900215,C7612,2025-06-17,
O900216,C10959,2025-09-03,PLACED
O900217,C10014,2025-04-19,
O900218,C10678,2025-09-29,
O900219,C10664,2025-04-14,DELIVERED
O900220,C3135,2026-01-18,SHIPPED
O900221,C5519,2025-10-30,DELIVERED
O900222,C10929,2026-01-01,SHIPPED
O900223,C8539,2025-07-04,SHIPPED
O900224,C7296,2025-11-16,PLACED
O900225,C3282,2025-01-06,SHIPPED
O900226,C1360,2025-08-13,
O900227,C7253,2025-03-08,
O900228,C3706,2025-04-29,PLACED
O900229,C10738,2025-07-05,PLACED
O900230,C8190,2026-01-31,
O900231,C2337,2025-11-09,
O900232,C6479,2025-02-17,DELIVERED
O900233,C3353,2026-02-02,DELIVERED
O900234,C4262,2025-11-28,PLACED
O900235,C1293,2025-04-22,PLACED
O900236,C9628,2025-09-13,DELIVERED
O900237,C6944,2025-06-14,PLACED
O900238,C2675,2025-12-04,SHIPPED
O900239,C1414,2025-02-24,PLACED
O900240,C5916,2025-12-31,SHIPPED
O900241,C3966,2026-01-02,PLACED
O900242,C3765,2025-07-25,DELIVERED
O900243,C3740,2025-12-10,PLACED
O900244,C5959,2025-06-10,DELIVERED
O900245,C8930,2025-06-25,SHIPPED
O900246,C8632,2026-01-27,DELIVERED
O900247,C4332,2025-10-09,DELIVERED
O900248,C9633,2026-01-25,
O900249,C9153,2025-08-12,SHIPPED
O900250,C10078,2025-08-08,SHIPPED
O900251,C5867,2025-09-27,SHIPPED
O900252,C1718,2025-08-06,PLACED
O900253,C8266,2025-12-23,
O900254,C1435,2025-06-26,PLACED
O900255,C7685,2025-01-02,PLACED
O900256,C5498,2025-11-08,DELIVERED
O900257,C8258,2025-07-12,SHIPPED
O900258,C4930,2025-11-23,
O900259,C6897,2026-01-01,SHIPPED
O900260,C8068,2025-08-25,SHIPPED
O900261,C2841,2025-08-03,SHIPPED
O900262,C7183,2025-02-23,DELIVERED
O900263,C9332,2025-01-06,
O900264,C6618,2025-09-05,PLACED
O900265,C10388,2026-01-04,PLACED
O900266,C7023,2025-10-16,PLACED
O900267,C3348,2025-01-04,PLACED
O900268,C6611,2025-04-24,DELIVERED
O900269,C2356,2025-09-20,
O900270,C7957,2025-02-02,
O900271,C6580,2025-07-20,DELIVERED
O900272,C1930,2025-12-08,
O900273,C5075,2025-02-09,PLACED
O900274,C2415,2025-03-14,DELIVERED
O900275,C7423,2025-05-17,
O900276,C1033,2025-04-01,DELIVERED
O900277,C2275,2025-07-21,DELIVERED
O900278,C9639,2025-01-30,SHIPPED
O900279,C4178,2025-04-23,SHIPPED
O900280,C9470,2025-11-13,SHIPPED
O900281,C7974,2026-01-22,SHIPPED
O900282,C10488,2025-08-30,DELIVERED
O900283,C10724,2025-06-26,SHIPPED
O900284,C8481,2026-01-03,SHIPPED
O900285,C3652,2025-03-09,
O900286,C5901,2025-05-10,DELIVERED
O900287,C8693,2025-02-01,DELIVERED
O900288,C1267,2026-01-26,PLACED
O900289,C10743,2025-03-30,PLACED
O900290,C5346,2025-03-04,SHIPPED
